node_id,node_type,owner,impact_level
net_revenue,metric,Finance Analytics,high
payments,source_table,Finance Analytics,source
refunds,source_table,Finance Analytics,source
customers,source_table,Finance Analytics,source
executive_dashboard,consumer,Finance Analytics,consumer
finance_dashboard,consumer,Finance Analytics,consumer
ai_agent,consumer,Finance Analytics,consumer
gross_revenue,metric,Finance Analytics,high
active_customers,metric,Product Analytics,high
web_events,source_table,Product Analytics,source
product_dashboard,consumer,Product Analytics,consumer
churn_rate,metric,Product Analytics,high
subscriptions,source_table,Product Analytics,source
customer_retention_rate,metric,Product Analytics,high
average_order_value,metric,Product Analytics,high
orders,source_table,Product Analytics,source
refund_rate,metric,Finance Analytics,high
payment_success_rate,metric,Payments Analytics,high
operations_dashboard,consumer,Payments Analytics,consumer
subscription_mrr,metric,Product Analytics,high
customer_lifetime_value_proxy,metric,Finance Analytics,high
support_sla_compliance_rate,metric,Support Operations,high
support_tickets,source_table,Support Operations,source
campaign_conversion_rate,metric,Marketing Analytics,high
marketing_campaigns,source_table,Marketing Analytics,source
marketing_dashboard,consumer,Marketing Analytics,consumer
sales_pipeline_value,metric,Sales Operations,high
sales_opportunities,source_table,Sales Operations,source
accounts,source_table,Sales Operations,source
sales_dashboard,consumer,Sales Operations,consumer
invoice_collection_rate,metric,Finance Analytics,high
invoices,source_table,Finance Analytics,source
data_product_adoption_rate,metric,Data Platform,high
data_platform_dashboard,consumer,Data Platform,consumer
